Country,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Uganda,0,0,0,0,0,0,0,0,0,0
Ukraine,151,87,94,90,86,86,77,69,56,46
United Arab Emirates,1,1,1,1,1,1,1,1,0,0
United-Kingdom,"6,556","5,204","4,051","3,288","2,389","1,963","1,353",888,684,552
Uruguay,41,21,21,21,1,0,0,0,0,0
USA,"46,919","40,200","35,159","25,170","16,819","11,603","9,149","6,725","6,370","4,685"
Uzbekistan,1,1,0,0,0,0,0,0,0,0
Vanuatu,3,3,3,3,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0
Vietnam,31,8,8,0,0,0,0,0,0,0
