latitude,longitude,PS,WS10M,WS50M,WD10M,WD50M,QV2M,RH2M,PRECIPITATIONCAL,T2M,T2MDEW,T2MWET,TS,windfarm_power
54.12341999999996,-7.852390000000007,99.17032258064515,6.305483870967744,9.090967741935485,231.9483870967742,232.60129032258064,5.203870967741937,94.91129032258064,5.027096774193549,4.71483870967742,3.943548387096774,4.329354838709678,4.179677419354839,19894.44
54.755360000000046,-7.831029999999999,98.97967741935483,7.971935483870967,10.46483870967742,230.14290322580646,231.20161290322577,5.1887096774193555,88.87290322580645,5.445806451612904,5.637741935483872,3.9083870967741943,4.771290322580646,5.64483870967742,19833.33
52.788999999999994,-4.051029999999998,97.63451612903225,5.287096774193547,8.415806451612905,237.4822580645161,238.6648387096774,5.340322580645162,93.83483870967741,8.053870967741934,5.027741935483871,4.0851612903225805,4.556129032258064,5.076129032258064,75572.86
52.44335999999999,-8.707310000000005,99.35451612903228,6.1012903225806445,8.999999999999998,227.71838709677414,228.2074193548387,5.561935483870968,93.76709677419356,4.073548387096774,5.863225806451613,4.899677419354839,5.381612903225806,5.280967741935484,63334.0
52.62349999999998,-5.457169999999999,100.6064516129032,10.278709677419352,11.965483870967747,240.55193548387095,241.03612903225803,6.107419354838711,84.98000000000002,7.615161290322581,8.935161290322581,6.516451612903227,7.725483870967742,10.343548387096773,41260.0
52.31043999999998,-8.403719999999996,98.94387096774193,6.006451612903225,8.841935483870971,228.14161290322582,229.08419354838708,5.535483870967742,95.33645161290322,3.808709677419356,5.476774193548388,4.764516129032258,5.12,4.996774193548388,16449.38
52.83042,-7.9870300000000025,99.4183870967742,6.193870967741936,9.038709677419357,224.7867741935484,225.92903225806455,5.421612903225806,94.86322580645162,3.7954838709677423,5.348387096774195,4.560645161290323,4.9548387096774205,4.774838709677421,18143.33
52.819719999999975,-6.047470000000002,99.21129032258067,7.883225806451609,10.195806451612905,239.03387096774196,240.01483870967743,5.628064516129032,92.97290322580646,4.914516129032258,6.1735483870967744,5.092903225806453,5.6335483870967735,6.538387096774195,16943.33
51.631859999999975,-8.624249999999998,100.26516129032258,8.376451612903226,10.510000000000002,230.49193548387098,231.05677419354842,6.150645161290321,88.44354838709677,5.248064516129033,8.421290322580644,6.585483870967743,7.504516129032256,8.612903225806452,43741.11
52.654860000000035,-5.476689999999999,100.6064516129032,10.278709677419352,11.965483870967747,240.55193548387095,241.03612903225803,6.107419354838711,84.98000000000002,7.615161290322581,8.935161290322581,6.516451612903227,7.725483870967742,10.343548387096773,41768.0
52.39096999999998,-6.890420000000004,99.4658064516129,6.532903225806451,9.25774193548387,232.28451612903226,233.06032258064522,5.638709677419356,94.92354838709676,3.759677419354839,5.868387096774194,5.087096774193549,5.476451612903228,5.533548387096774,30824.29
52.67527999999999,-5.476079999999997,100.6064516129032,10.278709677419352,11.965483870967747,240.55193548387095,241.03612903225803,6.107419354838711,84.98000000000002,7.615161290322581,8.935161290322581,6.516451612903227,7.725483870967742,10.343548387096773,41880.0
52.53566999999999,-5.7611699999999955,100.6064516129032,10.278709677419352,11.965483870967747,240.55193548387095,241.03612903225803,6.107419354838711,84.98000000000002,6.858387096774192,8.935161290322581,6.516451612903227,7.725483870967742,10.343548387096773,44787.62
54.69760999999996,-6.062250000000003,99.27903225806452,6.852258064516128,9.491612903225805,233.47483870967739,234.39870967741936,5.203548387096775,94.66387096774194,4.210645161290323,4.795483870967741,3.987419354838711,4.390645161290324,4.675483870967742,11516.33
51.95342000000004,-7.086000000000005,100.55290322580643,8.938387096774195,10.949354838709679,235.22290322580645,235.92741935483872,6.1019354838709665,88.0509677419355,6.664516129032258,8.368387096774194,6.470967741935484,7.420000000000003,8.958387096774194,27740.0
52.56358,-8.367079999999994,98.94387096774193,6.006451612903225,8.841935483870971,228.14161290322582,229.08419354838708,5.535483870967742,95.33645161290322,3.7380645161290325,5.476774193548388,4.764516129032258,5.12,4.996774193548388,24242.5
52.273390000000006,-6.655810000000002,99.4658064516129,6.532903225806451,9.25774193548387,232.28451612903226,233.06032258064522,5.638709677419356,94.92354838709676,5.20032258064516,5.868387096774194,5.087096774193549,5.476451612903228,5.533548387096774,6795.0
52.33205999999997,-8.436669999999994,98.94387096774193,6.006451612903225,8.841935483870971,228.14161290322582,229.08419354838708,5.535483870967742,95.33645161290322,3.808709677419356,5.476774193548388,4.764516129032258,5.12,4.996774193548388,15061.67
54.14022,-8.467140000000002,99.33258064516129,6.53258064516129,9.350645161290322,228.81419354838707,229.23419354838714,5.260322580645162,92.68774193548387,4.664193548387097,5.23258064516129,4.112903225806452,4.6732258064516135,4.671612903225808,8077.62
54.14525000000002,-7.801109999999996,99.11451612903225,6.288709677419355,9.09,230.91129032258064,232.05870967741933,5.184193548387097,95.63677419354838,5.027096774193549,4.531612903225808,3.871612903225806,4.201612903225806,4.050000000000001,17116.67
52.04572000000002,-7.093719999999997,100.55290322580643,8.938387096774195,10.949354838709679,235.22290322580645,235.92741935483872,6.1019354838709665,88.0509677419355,6.066129032258066,8.368387096774194,6.470967741935484,7.420000000000003,8.958387096774194,54858.95
52.78360999999997,-8.756139999999997,99.57548387096774,6.349032258064517,9.244193548387099,224.41870967741937,225.44774193548386,5.488387096774194,93.51354838709678,4.441290322580647,5.75516129032258,4.759354838709677,5.25741935483871,5.197096774193548,35257.69
52.78360999999997,-8.756139999999997,99.57548387096774,6.349032258064517,9.244193548387099,224.41870967741937,225.44774193548386,5.488387096774194,93.51354838709678,4.441290322580647,5.75516129032258,4.759354838709677,5.25741935483871,5.197096774193548,46398.33
