latitude,longitude,PS,WS10M,WS50M,WD10M,WD50M,QV2M,RH2M,PRECIPITATIONCAL,T2M,T2MDEW,T2MWET,TS
54.10983333333326,-8.15159722222222,98.93096774193548,6.41225806451613,9.178709677419356,229.15806451612906,229.3290322580645,5.194193548387097,95.00193548387097,4.691935483870968,4.64225806451613,3.885483870967742,4.264193548387095,4.119677419354838
54.75530000000002,-8.168900000000006,98.74193548387099,8.000645161290324,10.472580645161289,226.61677419354842,228.10290322580644,5.163225806451613,88.96548387096773,7.17516129032258,5.516451612903227,3.8035483870967757,4.658064516129032,5.579354838709679
52.788999999999994,-5.949000000000003,98.9861290322581,8.076129032258061,10.414516129032263,235.89064516129037,236.89161290322582,5.6496774193548385,92.86193548387098,6.411935483870967,6.208387096774194,5.110322580645164,5.659354838709676,6.579354838709679
52.11159999999997,-9.779599999999999,99.35967741935481,8.12483870967742,10.509032258064519,236.14290322580646,236.30032258064514,5.845161290322581,87.28483870967743,5.626451612903226,7.706774193548388,5.68548387096774,6.694516129032259,7.459677419354839
52.440800000000024,-9.290899999999999,99.52322580645159,7.21774193548387,9.924838709677418,226.74774193548384,227.4325806451613,5.6816129032258065,89.62741935483871,5.013870967741936,6.8896774193548405,5.2612903225806456,6.0761290322580646,6.5683870967741935
52.310400000000016,-9.585699999999997,99.52322580645159,7.21774193548387,9.924838709677418,226.74774193548384,227.4325806451613,5.6816129032258065,89.62741935483871,6.0509677419354855,6.8896774193548405,5.2612903225806456,6.0761290322580646,6.5683870967741935
52.829999999999984,-8.011300000000004,99.1809677419355,6.372903225806452,9.224193548387097,221.4341935483871,222.62483870967742,5.431612903225805,94.78451612903227,3.939032258064516,5.348387096774195,4.548709677419356,4.948709677419354,4.774193548387097
52.825388888888924,-7.938472222222224,99.1809677419355,6.372903225806452,9.224193548387097,221.4341935483871,222.62483870967742,5.431612903225805,94.78451612903227,4.200645161290323,5.348387096774195,4.548709677419356,4.948709677419354,4.774193548387097
51.63290000000001,-9.376200000000003,99.80032258064516,8.330967741935483,10.645806451612906,235.47483870967747,236.06032258064516,6.104838709677417,87.8109677419355,5.709999999999999,8.331290322580644,6.388064516129032,7.360967741935485,8.290000000000001
52.38820000000003,-7.106699999999997,99.24064516129032,6.737096774193548,9.504516129032256,229.1896774193548,229.98580645161294,5.662258064516129,94.79645161290323,4.119677419354838,5.913225806451613,5.111935483870967,5.511612903225807,5.567096774193548
52.5353,-6.239599999999998,99.96935483870966,8.827096774193548,10.96322580645161,234.0683870967742,234.4241935483871,5.944516129032258,89.79774193548387,4.746129032258064,7.587419354838713,5.991290322580645,6.788387096774194,8.223548387096773
51.95329999999996,-8.9138,98.7074193548387,6.674838709677419,9.504193548387095,228.72258064516126,229.01225806451617,5.731290322580645,93.80032258064516,4.126129032258064,6.19225806451613,5.2387096774193544,5.714838709677419,5.78225806451613
51.990499999999955,-9.0207,98.7074193548387,6.674838709677419,9.504193548387095,228.72258064516126,229.01225806451617,5.731290322580645,93.80032258064516,6.280322580645161,6.19225806451613,5.2387096774193544,5.714838709677419,5.78225806451613
54.6966,-7.9358,98.57064516129033,6.931935483870967,9.554516129032256,229.15870967741938,230.06290322580648,5.13548387096774,92.68064516129033,5.907741935483871,4.81483870967742,3.69741935483871,4.25709677419355,4.448064516129032
52.5643,-9.632600000000002,99.52322580645159,7.21774193548387,9.924838709677418,226.74774193548384,227.4325806451613,5.6816129032258065,89.62741935483871,5.8022580645161295,6.8896774193548405,5.2612903225806456,6.0761290322580646,6.5683870967741935
52.27179999999999,-7.348000000000006,98.98225806451616,6.315806451612903,9.111935483870967,226.35290322580647,227.31967741935486,5.624838709677418,94.9632258064516,4.358387096774194,5.76451612903226,4.9874193548387105,5.376774193548386,5.39741935483871
55.19820000000003,-7.440200000000003,98.58935483870967,7.5112903225806456,10.073870967741936,229.64903225806452,230.29419354838706,5.098064516129031,91.02548387096775,6.499999999999998,4.965161290322581,3.5903225806451613,4.278387096774194,4.894193548387096
52.330699999999986,-9.561800000000003,99.52322580645159,7.21774193548387,9.924838709677418,226.74774193548384,227.4325806451613,5.6816129032258065,89.62741935483871,6.0509677419354855,6.8896774193548405,5.2612903225806456,6.0761290322580646,6.5683870967741935
54.11249999999997,-9.587199999999998,99.18161290322583,7.146774193548387,9.924838709677417,223.26806451612904,223.86548387096775,5.322258064516129,89.98612903225806,7.710322580645162,5.8180645161290325,4.264516129032256,5.041935483870967,5.311935483870967
54.01209999999997,-7.107,99.04645161290323,6.561935483870968,9.316774193548387,228.4209677419355,229.59548387096777,5.213548387096774,95.86870967741935,4.195806451612903,4.565806451612903,3.9364516129032263,4.250645161290323,4.199032258064516
54.14439999999997,-8.191100000000004,98.93096774193548,6.41225806451613,9.178709677419356,229.15806451612906,229.3290322580645,5.194193548387097,95.00193548387097,4.691935483870968,4.64225806451613,3.885483870967742,4.264193548387095,4.119677419354838
52.050500000000035,-8.8987,98.7074193548387,6.674838709677419,9.504193548387095,228.72258064516126,229.01225806451617,5.731290322580645,93.80032258064516,4.309677419354838,6.19225806451613,5.2387096774193544,5.714838709677419,5.78225806451613
52.001099999999965,-9.1174,98.69129032258066,6.69451612903226,9.51774193548387,229.38419354838712,230.13225806451612,5.71709677419355,92.70774193548387,6.40225806451613,6.37516129032258,5.249354838709677,5.8112903225806445,5.872903225806453
52.070300000000024,-8.899200000000006,98.7074193548387,6.674838709677419,9.504193548387095,228.72258064516126,229.01225806451617,5.731290322580645,93.80032258064516,4.309677419354838,6.19225806451613,5.2387096774193544,5.714838709677419,5.78225806451613
